gen,mean,sd
1,83.2475,1.53507328815271
2,41.92125,1.07823185288296
3,48.6175,0.961052250697865
4,60.96125,1.0561038571764
5,61.82125,0.742936980599873
6,53.77625,0.822382210410706
7,49.96375,1.26703182393227
8,65.0625,0.794674236940618
9,68.28875,1.68808799279794
