x,f1,f2,f3,f4,f5,f6,f7,f8
750,1.67E-05,5.78E-07,0.417612944,0.525226585,0.386613072,0.522483677,0.523885719,0.560734367
751,1.87E-09,5.64E-07,0.418751829,0.524493793,0.391829508,0.520751883,0.522241239,0.57695899
752,4.98E-09,2.9E-06,0.416108403,0.520327456,0.390851088,0.522100172,0.522181863,0.583440018
753,1.67E-11,2.34E-05,0.413785035,0.522324794,0.38920466,0.519227032,0.520786546,0.578580523
754,4.66E-08,0.000121691,0.411157408,0.523331135,0.385855367,0.525816326,0.525718149,0.577992582
755,1.21E-08,0.00060344,0.409425309,0.528659265,0.383153203,0.525728149,0.527081981,0.561658335
756,0.866377175,0.004374116,0.411023372,0.527833302,0.390331452,0.530265305,0.529721468,0.560945177
757,0.999988198,0.007706606,0.411555084,0.525642824,0.389120111,0.523299439,0.522991348,0.545458555
758,1,0.001706861,0.416043658,0.522185172,0.396489792,0.519990655,0.518940681,0.537234259
759,0.999997735,0.001000785,0.416952237,0.515937121,0.394686182,0.513740555,0.512316533,0.552659655
760,0.999999881,0.00058885,0.413943998,0.520257998,0.394608906,0.519993004,0.523048215,0.543993711
761,0.999888062,0.000725963,0.412347581,0.522011482,0.388749377,0.519811427,0.51982804,0.566582632
762,0.999991894,0.000838337,0.40753903,0.523145092,0.392507664,0.523993975,0.526691639,0.57614522
763,0.999590933,0.00370337,0.405472646,0.526329039,0.397540931,0.525507164,0.525296307,0.601275158
764,0.999990702,0.004671927,0.40487259,0.531253252,0.398764838,0.534092271,0.532516655,0.573184443
765,0.882673562,0.035431955,0.404608286,0.533671927,0.393135529,0.53130079,0.531623099,0.546880722
766,0.045236725,0.001219652,0.409628484,0.534834554,0.395676706,0.530874363,0.530681588,0.525469637
767,5.18E-10,8.71E-05,0.412350151,0.53118049,0.391853322,0.527153689,0.528855611,0.51896615
768,1.12E-10,0.000128339,0.412681023,0.525237616,0.394543452,0.524240454,0.525060482,0.550936556
769,6.99E-14,5.36E-05,0.413055823,0.526217662,0.392941398,0.523813037,0.52530145,0.570473385
770,1.58E-08,7.22E-06,0.411039009,0.527537173,0.38276586,0.525289677,0.528101908,0.575181198
771,3.28E-07,1.49E-06,0.411661851,0.528637031,0.391061255,0.52543469,0.526529631,0.57426486
772,7.98E-08,1.27E-05,0.411018289,0.528095237,0.394066883,0.529388026,0.529153128,0.591625881
773,1.13E-08,1.03E-05,0.4111809,0.53523981,0.388961701,0.533290501,0.534185863,0.603251076
774,1.03E-08,1.39E-06,0.41296141,0.536546716,0.388296731,0.534269726,0.534958974,0.63476367
775,2.29E-12,4.9E-07,0.415534684,0.536451122,0.389438694,0.533451232,0.535073109,0.65532546
776,1.24E-10,2.08E-06,0.414854563,0.531892842,0.389668018,0.532374102,0.531928906,0.65219388
777,9.7E-11,1.04E-06,0.414418602,0.530891316,0.391229588,0.528427124,0.52970083,0.639257145
778,5.93E-09,2.29E-06,0.413438072,0.525852926,0.388062863,0.525505215,0.525688278,0.657476616
779,1.54E-09,3.23E-06,0.412636106,0.522791466,0.386502593,0.520363777,0.521671972,0.66512475
780,6.39E-11,5.56E-06,0.410822475,0.520562719,0.39109465,0.522238235,0.520834037,0.667573977
781,2.16E-16,4.54E-05,0.409609523,0.52077142,0.398175985,0.518436221,0.520087634,0.655695295
782,1.03E-12,1.66E-05,0.408473783,0.518284326,0.395085973,0.516761231,0.519128552,0.6791399
783,4.98E-14,5.22E-06,0.408769345,0.516232684,0.398841879,0.513904049,0.515631195,0.689056778
784,1.37E-09,1.1E-05,0.409779333,0.511778195,0.400362861,0.512355477,0.511226975,0.691039371
785,2.89E-08,3.71E-06,0.410344645,0.513697958,0.402669862,0.512621845,0.512605375,0.686917257
786,7.31E-08,1.46E-06,0.410194753,0.514192103,0.400523176,0.513487973,0.513905742,0.696080732
787,7.38E-10,5.46E-07,0.411863242,0.514727823,0.396578434,0.51309605,0.51418909,0.703580713
788,1.31E-09,1.57E-06,0.411375758,0.510841926,0.396320064,0.513255247,0.510137721,0.701378345
789,3.54E-11,6.65E-06,0.411617356,0.512636007,0.393167968,0.511441714,0.512413192,0.691015005
790,2E-08,8.83E-07,0.410924427,0.513550861,0.388948104,0.512695932,0.512710245,0.693665743
791,2.18E-09,9.53E-07,0.412357285,0.513440601,0.394051477,0.511427721,0.512603682,0.69152379
792,3.47E-08,4.87E-07,0.413329587,0.509072014,0.395478407,0.508796332,0.507135287,0.692483234
793,8.13E-09,5.03E-07,0.414766124,0.508177365,0.39714331,0.506763108,0.507445743,0.690215921
794,4.25E-07,1.27E-07,0.412556495,0.508168553,0.393357646,0.507946226,0.508542617,0.694124031
795,7.57E-08,2.63E-07,0.412936102,0.510082194,0.397662927,0.508487746,0.50933207,0.697425938
796,2.85E-07,2.91E-07,0.412849844,0.505509987,0.397266557,0.506546835,0.504117934,0.696627617
797,4.6E-08,9.22E-07,0.413420465,0.505909027,0.396262443,0.504763669,0.505235478,0.692764425
798,2.17E-06,1.9E-07,0.412766901,0.506790553,0.393086823,0.506608096,0.506084946,0.695118475
799,2.27E-07,4.22E-07,0.414019694,0.50802207,0.393653634,0.506208074,0.50712647,0.696386576
800,1.14E-07,6.34E-08,0.415989841,0.504883237,0.39752119,0.504058447,0.502141705,0.707077837
801,3.92E-11,2.02E-07,0.417864545,0.503968636,0.398492434,0.502260935,0.503216982,0.714469194
802,1.06E-07,6.63E-08,0.417604035,0.501441525,0.394984149,0.50186168,0.500839932,0.715022707
803,4.61E-07,1.5E-07,0.418628419,0.501706356,0.392258526,0.500195779,0.50104408,0.71417222
804,5E-08,2.32E-08,0.418051896,0.497789995,0.393983949,0.498612703,0.495987369,0.720546436
805,8.93E-14,1.13E-06,0.417885937,0.496361735,0.398256664,0.494669334,0.495832644,0.722261763
806,5.99E-10,1.11E-07,0.41744354,0.499761968,0.394915044,0.500432786,0.499973788,0.723190069
807,3.88E-12,3.9E-07,0.418487574,0.504493529,0.39388005,0.502191848,0.503817446,0.72120719
808,4.07E-10,3.33E-07,0.416296524,0.498996052,0.392070678,0.500084232,0.498586649,0.724387169
809,4.94E-14,6.42E-06,0.4132461,0.499453014,0.396972771,0.497769529,0.498650402,0.723188686
810,0.026429396,6.97E-05,0.415325446,0.497877973,0.404309279,0.501890401,0.50006698,0.734207201
811,0.999949574,0.000148017,0.415546568,0.501469975,0.400738281,0.502036979,0.499710503,0.74023037
812,1,0.000129464,0.416987905,0.507131135,0.405018602,0.509162521,0.507181356,0.738262463
813,0.999999762,0.000502446,0.415970678,0.508326255,0.394646128,0.508102899,0.505974693,0.745069981
814,1,0.00017333,0.415167204,0.514949648,0.401846099,0.515558513,0.515590557,0.731324005
815,0.999969721,5.76E-05,0.414920548,0.51807874,0.399930839,0.518403363,0.517156285,0.731910372
816,1,4.42E-05,0.416267244,0.522245896,0.405574114,0.524719723,0.52267709,0.729922295
817,0.999992132,0.000737912,0.414583596,0.520579997,0.400618994,0.519226729,0.51775857,0.734251595
818,0.602218509,4.71E-05,0.414839437,0.525371841,0.408470435,0.522729437,0.524554504,0.730180693
819,3.25E-12,3.54E-06,0.414669158,0.526964113,0.405744391,0.525621794,0.526729578,0.740115738
820,2.06E-13,3.98E-06,0.413907966,0.522805266,0.408606528,0.525798387,0.523437024,0.741033459
821,2.24E-22,2.88E-05,0.413205407,0.520742546,0.407867054,0.518996942,0.521090053,0.732935238
822,3.65E-14,4.69E-06,0.412876586,0.518951359,0.403104103,0.518143433,0.51996695,0.734536886
823,9.68E-14,3.14E-07,0.413868343,0.518637292,0.408662958,0.516944149,0.51794224,0.73045969
824,1.27E-12,1.46E-06,0.414431231,0.512390736,0.41269564,0.515509489,0.513426393,0.741482878
825,4.21E-17,4.76E-06,0.414268377,0.512032688,0.409084316,0.511174868,0.512027083,0.743712234
826,2.65E-14,1.92E-06,0.414187291,0.513206959,0.404623957,0.515078189,0.513769564,0.743532419
827,6.82E-18,1.35E-06,0.415720244,0.515790387,0.396857103,0.514019781,0.516079091,0.737061882
828,9.74E-19,8.22E-07,0.41570468,0.510724223,0.400183153,0.513048096,0.51029465,0.755139446
829,3.51E-28,2.87E-05,0.415233765,0.511660351,0.40059464,0.510274395,0.51273812,0.759520435
830,5.83E-09,0.000533376,0.418285891,0.500555389,0.40276919,0.505724699,0.501554962,0.759539366
831,0.995870292,0.000336597,0.418798764,0.494954624,0.406021216,0.496462565,0.493202965,0.749837637
832,1,0.000163524,0.418469626,0.498402472,0.406421424,0.499846538,0.498898686,0.748682213
833,0.999999881,0.000494992,0.416297116,0.496580964,0.403785779,0.497452332,0.493783334,0.75530901
834,1,0.001079184,0.414313164,0.505000216,0.406388115,0.508163968,0.506651322,0.734631729
835,0.999995828,0.001082978,0.411525561,0.507429388,0.397975358,0.507433347,0.505484657,0.724081564
836,1,0.00020289,0.412627433,0.514951945,0.4095247,0.515318695,0.51629752,0.730943108
837,0.999986172,4.23E-05,0.415358066,0.52242363,0.4099032,0.524071417,0.52201757,0.748014212
838,0.999999642,2.96E-06,0.415936907,0.52379458,0.415787215,0.52504299,0.524756336,0.753522396
839,0.999963641,8.37E-07,0.420639754,0.526840353,0.418870931,0.530060422,0.527252792,0.764001083
840,1,4.85E-07,0.418004199,0.536403223,0.419471811,0.543813323,0.541762703,0.758620739
841,0.999997973,2.92E-06,0.422324367,0.545890578,0.416864248,0.547958684,0.54612448,0.755714273
842,1,1.37E-07,0.422807482,0.546405055,0.419837872,0.549652172,0.548147305,0.754170322
843,0.999998212,6.16E-08,0.428643604,0.54835643,0.42200607,0.55111343,0.548578014,0.757514858
844,0.952392578,8.92E-09,0.424349555,0.552541713,0.420360868,0.559159796,0.556981783,0.752410793
845,3.19E-14,4.52E-06,0.425503809,0.55217822,0.418350942,0.551502414,0.55209553,0.743332529
846,1.72E-12,4.29E-08,0.423967289,0.548894981,0.411275318,0.546968006,0.549682747,0.747766829
847,2.87E-21,4.14E-09,0.424991463,0.543749825,0.412588851,0.541599752,0.543592067,0.751313448
848,1.15E-16,7.15E-08,0.423871627,0.534977056,0.416639639,0.541354487,0.539272318,0.754873466
849,1.14E-19,6.08E-07,0.423754971,0.534003729,0.417239183,0.533244592,0.534146071,0.746451664
850,3.71E-11,1.97E-07,0.420138991,0.527660493,0.411904959,0.528911696,0.531461761,0.74732399
851,7.23E-12,7.82E-08,0.418973283,0.522525817,0.418404549,0.521729925,0.521504947,0.744050884
852,3.14E-10,6.57E-06,0.415645269,0.515194006,0.418960479,0.522936157,0.520260026,0.743210697
853,8.11E-14,7.03E-05,0.4132604,0.516331629,0.413107159,0.516590324,0.516521476,0.734387302
854,2.67E-09,1.02E-05,0.410768747,0.515114085,0.406193943,0.515689436,0.516161837,0.727476358
855,2.11E-12,4.73E-06,0.410871988,0.510789164,0.409968744,0.509478121,0.509988907,0.715314627
856,6.39E-10,2.13E-05,0.412312765,0.507274848,0.416609691,0.512217701,0.509212281,0.724583578
857,9.29E-16,0.00024086,0.41228916,0.506833432,0.415489153,0.50566534,0.505801502,0.720911074
858,1.09E-08,0.000809426,0.410209417,0.5012997,0.414290088,0.504899464,0.503630949,0.692832136
859,5.13E-10,0.000355128,0.407771362,0.498056698,0.417800222,0.497072166,0.495828763,0.648719597
860,5.98E-11,0.006636301,0.408641218,0.494237772,0.419344669,0.501017915,0.496428971,0.651317739
861,8.54E-18,0.04032083,0.409296015,0.497229193,0.408026423,0.496533458,0.496725258,0.631507063
862,1.27E-13,0.003708625,0.40951477,0.499243904,0.398183446,0.501045886,0.498840237,0.61435132
863,2.93E-18,0.006083333,0.412061845,0.499354966,0.394125184,0.496620612,0.498169599,0.566107655
864,0.000179479,0.010178712,0.411750638,0.490607201,0.393499611,0.492395269,0.491235618,0.535896349
865,0.999432385,0.008994382,0.410885768,0.487985598,0.41240537,0.487718852,0.483821249,0.484180403
