x,f1,f2,f3,f4,f5,f6,f7,f8
866,0,0.14,0.428,0.5,0.424,0.5,0.5,0.249544271
867,1,0.268,0.404,0.496,0.368,0.496,0.496,0.240429688
868,1,0.268,0.412,0.496,0.384,0.496,0.496,0.214648438
869,1,0.052,0.42,0.5,0.42,0.5,0.5,0.19280599
870,1,0,0.42,0.504,0.428,0.504,0.504,0.185351563
871,1,0,0.42,0.508,0.428,0.508,0.508,0.179557292
872,1,0,0.42,0.512,0.428,0.512,0.512,0.17796224
873,1,0,0.42,0.516,0.428,0.516,0.516,0.186230469
874,1,0,0.42,0.52,0.428,0.52,0.52,0.198242188
875,1,0,0.424,0.524,0.428,0.524,0.524,0.212630208
876,1,0,0.428,0.532,0.424,0.532,0.532,0.225813802
877,1,0,0.428,0.536,0.424,0.536,0.536,0.237174479
878,1,0,0.432,0.54,0.424,0.54,0.54,0.249088542
879,1,0,0.432,0.544,0.424,0.544,0.544,0.261067708
880,0,0,0.436,0.548,0.424,0.548,0.548,0.269856771
881,0,0,0.44,0.544,0.404,0.544,0.544,0.2703125
882,0,0,0.44,0.54,0.412,0.54,0.54,0.265494792
883,0,0,0.44,0.54,0.412,0.54,0.54,0.256901042
884,0,0,0.44,0.536,0.408,0.536,0.536,0.258138021
885,0,0,0.44,0.532,0.416,0.532,0.532,0.271907552
886,0,0,0.436,0.528,0.416,0.528,0.528,0.294921875
887,0,0,0.432,0.528,0.412,0.528,0.528,0.319466146
888,0,0,0.428,0.524,0.408,0.524,0.524,0.343326823
889,0,0,0.428,0.52,0.368,0.52,0.52,0.339322917
890,0,0,0.428,0.516,0.424,0.516,0.516,0.350878906
891,0,0,0.428,0.512,0.42,0.512,0.512,0.371419271
892,0,0,0.428,0.508,0.42,0.508,0.508,0.394986979
893,0,0,0.428,0.504,0.42,0.504,0.504,0.408105469
894,0,0,0.428,0.504,0.412,0.504,0.504,0.411914063
895,0,0,0.428,0.5,0.42,0.5,0.5,0.430273438
896,1,0,0.428,0.496,0.416,0.496,0.496,0.45
897,1,0,0.428,0.5,0.42,0.5,0.5,0.471028646
898,1,0,0.428,0.5,0.42,0.5,0.5,0.491699219
899,1,0,0.428,0.504,0.416,0.504,0.504,0.513704427
900,1,0,0.428,0.512,0.416,0.512,0.512,0.534244792
901,1,0,0.428,0.516,0.42,0.516,0.516,0.554003906
902,1,0,0.432,0.52,0.42,0.52,0.52,0.56891276
903,1,0,0.432,0.524,0.408,0.524,0.524,0.566503906
904,1,0,0.432,0.532,0.424,0.532,0.532,0.580664063
905,1,0,0.432,0.536,0.42,0.536,0.536,0.597786458
906,1,0,0.432,0.54,0.42,0.54,0.54,0.614127604
907,1,0,0.436,0.544,0.42,0.544,0.544,0.630175781
908,1,0,0.436,0.548,0.42,0.548,0.548,0.648144531
